date,drawdown
2021-09-02,0.0
2021-09-03,0.0
2021-09-06,0.0
2021-09-07,-0.0017607260987967882
2021-09-08,0.0
2021-09-09,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,-0.001282521900307656
2021-09-17,-0.01128709909860917
2021-09-20,-0.025344989327423784
2021-09-21,-0.021285331665601658
2021-09-22,-0.011919749477700897
2021-09-23,-0.00116378665724035
2021-09-24,-0.007123208208140145
2021-09-27,-0.009213311036486104
2021-09-28,-0.008013269343194608
2021-09-29,-0.007625340457447825
2021-09-30,-0.0014710480877734595
2021-10-01,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,-0.0029520295202951218
2021-10-07,0.0
2021-10-08,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-18,0.0
2021-10-19,-0.010786898134990707
2021-10-20,-0.03429990248650886
2021-10-21,-0.03093968628905857
2021-10-22,-0.03477981181427851
2021-10-25,-0.047020903284655975
2021-10-26,-0.034086325817590184
2021-10-27,-0.0289681438911116
2021-10-28,-0.0344377487827832
2021-10-29,-0.032765724263160524
2021-11-01,-0.02777602869925845
2021-11-02,-0.017055501003214745
2021-11-03,-0.01701806126842418
2021-11-08,-0.0018439069384337853
2021-11-09,0.0
2021-11-10,-1.5266178544767732e-05
2021-11-11,0.0
2021-11-12,0.0
2021-11-15,-0.0004375846667650182
2021-11-16,-0.005615669890151146
2021-11-17,-0.00955560846064083
2021-11-18,-0.019241989350429877
2021-11-22,-0.03963242887991739
2021-11-23,-0.029580555816355276
2021-11-24,-0.01972484139651549
2021-11-25,-0.01638595302922598
2021-11-26,-0.0463831363922905
2021-11-29,-0.060780677870622524
2021-11-30,-0.03927448126936443
2021-12-01,-0.03997528736403028
2021-12-02,-0.034461049934949105
2021-12-03,-0.031790274555038404
2021-12-06,-0.04236439905039103
2021-12-07,-0.031200122054267247
2021-12-08,-0.027627352227155032
2021-12-09,-0.024078054374505494
2021-12-10,-0.01895948737207778
2021-12-13,-0.021947134407232036
2021-12-14,-0.02284409914562011
2021-12-15,-0.021441648671486246
2021-12-16,-0.03126047856002792
2021-12-17,-0.04084961841275806
2021-12-20,-0.06590678943627022
2021-12-21,-0.059991851871722374
2021-12-22,-0.04854004318843305
2021-12-23,-0.043849839719945854
2021-12-24,-0.052709671794734264
2021-12-27,-0.05188899097334932
2021-12-28,-0.042787732875518104
2021-12-29,-0.03507551269498508
2021-12-30,-0.03564386979089832
2021-12-31,-0.023285036951594167
2022-01-03,-0.012253208954223006
2022-01-04,-0.010876745308958241
2022-01-05,-0.012124113094679305
2022-01-06,-0.0101700712206768
2022-01-07,-0.010339404750727657
2022-01-10,-0.00026992770631868165
2022-01-11,-0.0006622449937632259
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-17,0.0
2022-01-18,-0.012430982287162853
2022-01-19,-0.01411776288262269
2022-01-20,-0.01442213817489677
2022-01-21,-0.02462814527972165
2022-01-24,-0.06604533633059578
2022-01-25,-0.057121643462494494
2022-01-27,-0.06911698348497403
2022-01-28,-0.06673941044721016
2022-01-31,-0.05538399691522611
2022-02-01,-0.04124654398674195
2022-02-02,-0.029506354141883122
2022-02-03,-0.03241145632501698
2022-02-04,-0.03044655383176498
2022-02-07,-0.030910910746662874
2022-02-08,-0.04019476737031231
2022-02-09,-0.04287671570035025
2022-02-10,-0.04535273896742111
2022-02-11,-0.05996029174084614
2022-02-14,-0.0879825086759264
2022-02-15,-0.07878561642149823
2022-02-16,-0.06906939920747558
2022-02-17,-0.07284988801286414
2022-02-18,-0.07607495344124574
2022-02-21,-0.09298213948756656
2022-02-22,-0.10376243959668217
2022-02-23,-0.09844858846983726
2022-02-24,-0.13370443600324886
2022-02-25,-0.1045566047797586
2022-02-28,-0.09857739418651387
2022-03-02,-0.0992640845359302
2022-03-03,-0.09793090434739807
2022-03-04,-0.11031184110132983
2022-03-07,-0.12497272108229616
2022-03-08,-0.12127099246035325
2022-03-09,-0.10776526183658895
2022-03-10,-0.09885305482857351
2022-03-11,-0.09429152753734954
2022-03-14,-0.08623747836145998
2022-03-15,-0.09104595164452901
2022-03-16,-0.08523656769683889
2022-03-17,-0.0800826981926179
2022-03-21,-0.0827441360582169
2022-03-22,-0.08266045336330598
2022-03-23,-0.08064386449966773
2022-03-24,-0.0800728531696871
2022-03-25,-0.08243237699874478
2022-03-28,-0.08623993961719262
2022-03-29,-0.07429710638367694
2022-03-30,-0.06969619900073015
2022-03-31,-0.06974296285965101
2022-04-01,-0.0576220987948051
2022-04-04,-0.04682210863982802
2022-04-05,-0.034589667648434214
2022-04-06,-0.032221939633601024
2022-04-07,-0.03698611031348196
2022-04-08,-0.030601612942923396
2022-04-11,-0.025807086775672963
2022-04-12,-0.03496459893837831
2022-04-13,-0.035579912871547034
2022-04-18,-0.040039708259153775
2022-04-19,-0.04776394916686493
2022-04-20,-0.047663858100402766
2022-04-21,-0.039551559205506605
2022-04-22,-0.040211175741863434
2022-04-25,-0.05047707340285008
2022-04-26,-0.04389977766656545
2022-04-27,-0.045657114259695306
2022-04-28,-0.03793287335198415
2022-04-29,-0.04472840042989929
2022-05-02,-0.051042341802787716
2022-05-04,-0.06843193397271286
2022-05-05,-0.06970440318650577
2022-05-06,-0.08181214055411067
2022-05-09,-0.0884558901951775
2022-05-10,-0.10059316263157465
2022-05-11,-0.11236945089384595
2022-05-12,-0.12357554824471446
2022-05-13,-0.12175750067684525
2022-05-16,-0.11082214145657111
2022-05-17,-0.09333409905733897
2022-05-18,-0.09405934907990054
2022-05-19,-0.10431868339226673
2022-05-20,-0.09326846557113434
2022-05-23,-0.09163747343894858
2022-05-24,-0.0945926211553134
2022-05-25,-0.11006243385375211
2022-05-26,-0.1052178621532706
2022-05-27,-0.10472725184389067
2022-05-30,-0.09027557860020176
2022-05-31,-0.08606601087875032
2022-06-01,-0.07254223104627983
2022-06-02,-0.07256028025498601
